"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Quest change","1","0","General functionality of the site","0"
"0","","0","Toggle (Show/hide)","1","0","General functionality of the site","0"
"0","","0","Search","1","0","Quest search field","0"
"0","","0","Category change","1","0","General functionality of the site","0"
"0","","0","Languages","1","0","General functionality of the site","0"
"0","","0","Main Page Title","1","0","General functionality of the site","0"
"0","","0","","1","0","","0"
"0","","0","Filter","2","0","General functionality of the site","0"
"0","","0","City changes","1","0","General functionality of the site","0"
"0","","0","Copyright date","1","0","General functionality of the site","0"
