"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2958","Filter params","tests","Sun Mar 30 14:41:18 UTC 2025","passed","Sun Mar 30 14:41:21 UTC 2025","","test_home","",""
"","3393","Homepage Title","tests","Sun Mar 30 14:40:54 UTC 2025","passed","Sun Mar 30 14:40:57 UTC 2025","","test_home","",""
"","1585","Copywriting","tests","Sun Mar 30 14:41:03 UTC 2025","passed","Sun Mar 30 14:41:05 UTC 2025","","test_home","",""
"","2375","Go to category page","tests","Sun Mar 30 14:41:11 UTC 2025","passed","Sun Mar 30 14:41:14 UTC 2025","","test_home","",""
"","2699","Switch language","tests","Sun Mar 30 14:40:58 UTC 2025","passed","Sun Mar 30 14:41:00 UTC 2025","","test_home","",""
"","2288","Switching cities","tests","Sun Mar 30 14:41:01 UTC 2025","passed","Sun Mar 30 14:41:03 UTC 2025","","test_home","",""
"","3665","Search field","tests","Sun Mar 30 14:41:05 UTC 2025","passed","Sun Mar 30 14:41:09 UTC 2025","","test_home","",""
"","1587","Show/hide full text","tests","Sun Mar 30 14:41:10 UTC 2025","passed","Sun Mar 30 14:41:11 UTC 2025","","test_home","",""
"","3062","Go to the quest page","tests","Sun Mar 30 14:41:14 UTC 2025","passed","Sun Mar 30 14:41:17 UTC 2025","","test_home","",""
"","0","test_start[chromium]","tests","Sun Mar 30 14:40:53 UTC 2025","passed","Sun Mar 30 14:40:53 UTC 2025","","test_home","",""
